,0
0,2473
1,3357
2,7699
3,13376
4,6752
5,11030
6,8508
7,6928
8,2040
9,15344
10,2384
11,11434
12,5838
13,12768
14,1848
15,5610
16,2559
17,10586
18,6905
19,0
20,3446
21,9781
22,3179
23,13437
24,7225
25,9368
26,9026
27,1959
28,13322
29,3357
30,6829
31,1368
32,12144
33,10476
34,6109
35,6338
36,7086
37,12893
38,4898
39,7290
40,3274
41,11912
42,9147
43,7068
44,9414
45,6819
46,6820
47,13478
48,11454
49,2279
50,5130
51,10560
52,2995
53,4856
54,13731
55,2171
56,3473
57,13172
58,8637
59,3195
60,2417
61,4420
62,9800
63,3490
64,3490
65,6190
66,5480
67,1959
68,3538
69,14337
70,14629
71,13410
72,8747
73,7699
74,3413
75,9264
76,4856
77,10987
78,8922
79,2058
80,2364
81,1927
82,5378
83,9315
84,3302
85,7896
86,5044
87,10680
88,9027
89,6615
90,12580
91,6912
92,1935
93,10922
94,5378
95,8968
96,10030
97,2190
98,422
99,2529
100,10615
101,13373
102,11808
103,13286
104,2594
105,1935
106,10212
107,5059
108,14005
109,10805
110,9068
111,13214
112,12384
113,14564
114,9376
115,14515
116,1139
117,3346
118,2223
119,11924
120,9672
121,12221
122,0
123,6929
124,6752
125,2447
126,9267
127,11912
128,6923
129,14330
130,10949
131,9030
132,5921
133,5668
134,1930
135,8124
136,13650
137,11453
138,13151
139,1901
140,15344
141,5605
142,7084
143,10993
144,6835
145,12357
146,3979
147,296
148,13209
149,429
150,9027
151,10223
152,8838
