,0
0,3333
1,9672
2,9147
3,10834
4,9800
5,5632
6,8747
7,2175
8,6752
9,5375
10,12697
11,7449
12,11439
13,10922
14,13644
15,1868
16,5544
17,13804
18,7023
19,2484
20,11835
21,12823
22,3507
23,2306
24,1927
25,6749
26,10139
27,10081
28,10727
29,5130
30,6112
31,6114
32,2225
33,13373
34,5639
35,8320
36,6559
37,4064
38,2469
39,1405
40,8162
41,10950
42,10586
43,4770
44,1908
45,2637
46,13804
47,6045
48,3936
49,10476
50,12144
51,7478
52,9147
53,9323
54,5415
55,14496
56,9147
57,6926
58,15070
59,6990
60,15253
61,9323
62,10850
63,13262
64,6782
65,15344
66,8903
67,7971
68,2209
69,2282
70,10341
71,9899
72,9218
73,10933
74,15449
75,2797
76,1506
77,6032
78,12157
79,15061
80,2223
81,8320
82,815
83,1959
84,8747
85,6900
86,6113
87,12893
88,2198
89,2073
90,8320
91,2529
92,8988
93,11453
94,8903
95,5632
96,14306
97,4248
98,8954
99,14005
100,9678
101,11899
102,12377
103,1825
104,8912
105,13526
106,7256
107,6128
108,13439
109,2058
110,12230
111,12580
112,8642
113,1071
114,14648
115,3147
116,7048
117,3473
118,13174
119,15328
120,15579
121,9928
122,0
123,10769
124,7256
125,7884
126,4913
127,11319
128,2089
129,2175
130,11691
131,10560
132,3624
133,12058
134,7449
135,15273
136,3936
137,4339
138,14634
139,4550
140,9027
141,1901
142,5626
143,6773
144,1854
145,9068
146,10940
147,8922
148,11691
149,11439
150,7028
151,10727
152,8953
