,0
0,1581
1,4728
2,2168
3,15579
4,13447
5,12007
6,2992
7,2578
8,10831
9,14629
10,9363
11,6922
12,5485
13,3385
14,5473
15,5125
16,6741
17,8792
18,5059
19,9049
20,12518
21,6956
22,10560
23,10808
24,4188
25,14739
26,9304
27,8922
28,2223
29,2896
30,6928
31,296
32,6045
33,9800
34,5838
35,9390
36,6032
37,3983
38,5378
39,13674
40,12221
41,11819
42,7397
43,11873
44,8508
45,10019
46,2156
47,6905
48,8320
49,10476
50,5838
51,9414
52,9210
53,1825
54,10933
55,1071
56,6278
57,11663
58,5628
59,8747
60,651
61,2091
62,3509
63,1020
64,6789
65,14157
66,8842
67,5492
68,12431
69,11519
70,891
71,13352
72,2559
73,5480
74,6878
75,6701
76,3232
77,5838
78,10964
79,3308
80,12144
81,5566
82,7132
83,5480
84,12230
85,14648
86,2224
87,4898
88,6451
89,10891
90,3490
91,5639
92,13674
93,3195
94,13223
95,6060
96,6794
97,5063
98,8642
99,10586
100,8834
101,8320
102,9408
103,10933
104,3179
105,13447
106,5375
107,2180
108,13418
109,2175
110,6195
111,1825
112,9745
113,10019
114,10100
115,10724
116,14715
117,9363
118,4060
119,2282
120,5403
121,429
122,5480
123,3201
124,13439
125,8910
126,12357
127,7086
128,2810
129,3502
130,11434
131,10743
132,9035
133,3201
134,6291
135,2592
136,9103
137,13829
138,11517
139,5397
140,13216
141,9035
142,8838
143,3538
144,13322
145,6142
146,3373
147,10680
148,651
149,6990
150,3345
151,865
152,11850
