,0
0,6890
1,6451
2,11912
3,9267
4,1959
5,15339
6,2529
7,10801
8,9800
9,7520
10,10729
11,5626
12,15328
13,4887
14,15253
15,11843
16,6357
17,7088
18,13833
19,4770
20,3473
21,8848
22,8912
23,4708
24,11870
25,595
26,5432
27,4125
28,13228
29,2578
30,14167
31,6937
32,5438
33,9026
34,11867
35,2775
36,13526
37,5835
38,1901
39,6752
40,12221
41,7896
42,2040
43,7088
44,13457
45,13833
46,9103
47,3436
48,10772
49,7478
50,5626
51,4913
52,6621
53,1930
54,3467
55,11931
56,7760
57,2992
58,6912
59,14648
60,5347
61,9864
62,7017
63,10212
64,6912
65,9360
66,6161
67,76
68,5591
69,4339
70,2371
71,6820
72,3721
73,8325
74,4942
75,11808
76,6977
77,4856
78,9266
79,1854
80,4667
81,7083
82,7478
83,6620
84,10763
85,6782
86,12344
87,3339
88,12935
89,5664
90,9210
91,7017
92,13172
93,3983
94,4550
95,5591
96,2992
97,12935
98,11726
99,9664
100,3682
101,12576
102,13564
103,7197
104,2091
105,11030
106,6831
107,3274
108,13564
109,8834
110,12254
111,8768
112,13650
113,5063
114,14715
115,6498
116,6195
117,9376
118,8653
119,6937
120,891
121,2118
122,2306
123,3710
124,1888
125,8834
126,5397
127,4898
128,891
129,14167
130,3490
131,9390
132,6128
133,4603
134,8848
135,9864
136,6745
137,8680
138,2669
139,0
140,13148
141,1499
142,11703
143,13265
144,5605
145,8838
146,4604
147,12254
148,11030
149,10763
150,4604
151,5626
152,10341
