,0
0,3786
1,13289
2,2444
3,6986
4,2171
5,315
6,14301
7,14337
8,7067
9,11726
10,12580
11,13526
12,9507
13,3710
14,2413
15,7566
16,2196
17,1139
18,1848
19,3721
20,13447
21,2097
22,7397
23,10019
24,2223
25,11903
26,3000
27,5125
28,6844
29,12157
30,6762
31,1812
32,7971
33,4060
34,2314
35,2992
36,290
37,2391
38,12768
39,13209
40,9928
41,6113
42,5610
43,2343
44,3081
45,5432
46,4913
47,2669
48,6773
49,11663
50,12580
51,3490
52,9068
53,6876
54,8145
55,3446
56,6905
57,11162
58,2190
59,13731
60,6923
61,9678
62,2273
63,638
64,5395
65,10139
66,2992
67,6920
68,7132
69,13148
70,13286
71,7057
72,6952
73,6831
74,4728
75,14364
76,1405
77,1408
78,6195
79,3350
80,6956
81,3362
82,2273
83,2669
84,4125
85,9678
86,2091
87,5378
88,8903
89,1848
90,11912
91,12789
92,2273
93,8610
94,14496
95,3403
96,13564
97,13287
98,1339
99,4212
100,11870
101,4603
102,8910
103,13478
104,10098
105,5473
106,3379
107,9385
108,10834
109,12605
110,4060
111,596
112,4353
113,9360
114,14648
115,3000
116,5668
117,6288
118,891
119,6824
120,5343
121,2204
122,4898
123,1580
124,3339
125,5473
126,3273
127,10030
128,5415
129,9800
130,2151
131,6928
132,2089
133,11434
134,5404
135,13322
136,6852
137,10724
138,12344
139,9514
140,2738
141,11873
142,8325
143,12357
144,13418
145,3629
146,3605
147,12605
148,12230
149,2391
150,8272
151,10098
152,13290
