,0
0,13437
1,4615
2,11570
3,6774
4,6276
5,6762
6,6041
7,5485
8,9390
9,2175
10,6221
11,13262
12,1071
13,9187
14,3274
15,14564
16,11691
17,6113
18,5378
19,2592
20,3710
21,1405
22,8162
23,11903
24,7059
25,9672
26,8875
27,6325
28,11808
29,3536
30,8988
31,7449
32,12005
33,8988
34,2087
35,10950
36,3503
37,2564
38,6109
39,6045
40,3081
41,10987
42,11900
43,5509
44,10341
45,2016
46,5664
47,9899
48,2447
49,6128
50,4708
51,13804
52,2089
53,6318
54,2578
55,2204
56,10223
57,2482
58,9864
59,1820
60,10100
61,2175
62,10081
63,2130
64,3536
65,5641
66,2529
67,5049
68,2151
69,2578
70,422
71,2484
72,2303
73,10247
74,10212
75,2180
76,10850
77,3502
78,6109
79,12431
80,3179
81,8637
82,14515
83,10808
84,3248
85,12225
86,130
87,12658
88,1580
89,4694
90,2066
91,3786
92,8594
93,15328
94,13265
95,7023
96,6745
97,8747
98,11873
99,13389
100,5664
101,11703
102,8905
103,5509
104,10695
105,9165
106,11319
107,4103
108,10772
109,3350
110,12336
111,11162
112,9507
113,8834
114,14301
115,4212
116,7256
117,2180
118,1763
119,11870
120,4708
121,2179
122,5637
123,13125
124,2465
125,5838
126,3710
127,14634
128,3195
129,7048
130,13172
131,13823
132,10131
133,11601
134,11912
135,5578
136,8988
137,8903
138,10574
139,6142
140,8325
141,9068
142,8169
143,6276
144,5623
145,6621
146,2016
147,11467
148,2465
149,6615
150,6876
151,11030
152,1849
