,0
0,8169
1,6315
2,6757
3,2640
4,2738
5,6752
6,13295
7,1888
8,2216
9,2420
10,8594
11,12512
12,11614
13,5403
14,2073
15,2933
16,6488
17,6620
18,5921
19,9700
20,5404
21,2306
22,6488
23,7760
24,10574
25,3345
26,7059
27,6109
28,422
29,14306
30,6878
31,9165
32,2198
33,8910
34,6357
35,9068
36,10772
37,10993
38,1405
39,865
40,13148
41,9781
42,13418
43,1220
44,13978
45,10455
46,6929
47,79
48,7225
49,3542
50,10100
51,2482
52,6838
53,4219
54,11515
55,11162
56,5608
57,6772
58,8162
59,8747
60,10139
61,5773
62,7236
63,11875
64,1854
65,12029
66,6559
67,3273
68,296
69,6890
70,6928
71,14330
72,7290
73,815
74,5644
75,9678
76,2404
77,3786
78,2444
79,15273
80,14984
81,13223
82,2343
83,4958
84,2288
85,4188
86,4604
87,12413
88,292
89,15579
90,7068
91,12007
92,12344
93,8954
94,2175
95,5398
96,3357
97,4353
98,8508
99,8875
100,12823
101,3081
102,10727
103,6878
104,6835
105,6876
106,10341
107,9672
108,1220
109,11467
110,3339
111,2992
112,10891
113,3274
114,9147
115,8320
116,13290
117,9507
118,7132
119,3183
120,13449
121,8910
122,6318
123,10476
124,7164
125,12576
126,14564
127,3501
128,10468
129,13287
130,3449
131,7236
132,5483
133,3201
134,8653
135,5628
136,638
137,3721
138,10743
139,11968
140,10014
141,79
142,2810
143,6620
144,296
145,3542
146,1935
147,429
148,11726
149,11900
150,7478
151,5415
152,6741
