,0
0,13125
1,10455
2,11843
3,3501
4,15339
5,13352
6,6749
7,422
8,13568
9,5476
10,14815
11,11030
12,2151
13,8848
14,11079
15,6940
16,5840
17,13319
18,9026
19,10142
20,2224
21,3357
22,11079
23,12789
24,9897
25,2168
26,2420
27,14970
28,13376
29,7397
30,8124
31,2290
32,3379
33,14970
34,12344
35,3081
36,7236
37,5566
38,5395
39,13262
40,11924
41,10033
42,10030
43,13439
44,4905
45,3195
46,12746
47,9376
48,8610
49,3446
50,1220
51,2568
52,2568
53,1933
54,10139
55,9030
56,14984
57,5421
58,6276
59,6912
60,11520
61,1820
62,7884
63,10030
64,5277
65,6060
66,2016
67,5605
68,2447
69,7389
70,2204
71,2251
72,6956
73,11467
74,10615
75,11873
76,2210
77,3682
78,6113
79,1868
80,11924
81,2594
82,3403
83,2933
84,12357
85,4615
86,13478
87,6829
88,10468
89,5648
90,10810
91,3339
92,12746
93,8124
94,2279
95,3536
96,11434
97,5140
98,13183
99,5607
100,6905
101,11454
102,10247
103,6790
104,3624
105,6896
106,9388
107,6819
108,10341
109,6896
110,972
111,13286
112,2592
113,6844
114,2288
115,10769
116,13955
117,2482
118,10962
119,14167
120,3147
121,3983
122,10560
123,7067
124,1812
125,2040
126,13319
127,1580
128,2223
129,1825
130,456
131,5665
132,2196
133,1408
134,3436
135,2568
136,5438
137,3357
138,10247
139,6820
140,3449
141,7903
142,9030
143,10937
144,5540
145,5483
146,11903
147,9414
148,2273
149,4604
150,5403
151,5626
152,6161
