,0
0,12413
1,4959
2,11998
3,5140
4,12344
5,13439
6,12927
7,12160
8,2447
9,7225
10,8946
11,12357
12,11430
13,7236
14,6956
15,9309
16,9899
17,6288
18,8903
19,12384
20,5336
21,6032
22,11956
23,10810
24,11691
25,11453
26,7083
27,11570
28,3201
29,9360
30,9507
31,3346
32,10081
33,6858
34,6276
35,3373
36,865
37,10476
38,7028
39,6896
40,13473
41,9266
42,9999
43,10680
44,0
45,13317
46,5432
47,6824
48,12789
49,3449
50,3302
51,15371
52,13151
53,10081
54,2413
55,76
56,2442
57,14534
58,11467
59,13823
60,9385
61,12605
62,5432
63,3446
64,4444
65,2896
66,7203
67,7084
68,10468
69,5578
70,5668
71,9210
72,9363
73,14815
74,79
75,3240
76,1580
77,14364
78,13125
79,3373
80,3436
81,9189
82,8968
83,11162
84,9210
85,5476
86,11794
87,11519
88,5623
89,5522
90,3273
91,13172
92,422
93,1499
94,9187
95,9304
96,7903
97,13674
98,5809
99,5398
100,4065
101,6790
102,13526
103,2179
104,5634
105,1848
106,5438
107,2465
108,14157
109,12823
110,3385
111,1550
112,3355
113,4895
114,1930
115,5277
116,79
117,13650
118,8954
119,3147
120,2087
121,891
122,8910
123,12058
124,7805
125,8949
126,10033
127,5059
128,11319
129,5677
130,6772
131,9514
132,12413
133,10933
134,9740
135,2297
136,1071
137,13183
138,2066
139,2640
140,4065
141,9304
142,9035
143,11570
144,6288
145,422
146,10033
147,2896
148,9376
149,1848
150,10831
151,5607
152,3605
