ncRNA Symbol,ncRNA Category,Species,Disease Name,Sample,Dysfunction Pattern,Validated Method,Description,Clinical Application,Causality,Causal Description,PubMed ID
HOTAIRM1,LncRNA,Homo sapiens,Stomach Neoplasms,"gastric cancer tissues,cell lines",Regulation[miR-17-5p/ PTEN axis],Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//MTT//Luciferase Report Assay//Microarray," HOTAIRM1 and phosphatase and tensin homolog (PTEN) were both downregulated in GC, whereas miR-17-5p was upregulated.Moreover, the PI3K/AKT pathway was found activated in GC. HOTAIRM1 targeted miR-17-5p, whereas PTEN was the downstream target gene of miR-17-5p.",,Yes,"HOTAIRM1 suppressed proliferation and migration of GC cell line and induced their apoptosis, whereas miR-17-5p played the opposite role on GC cell line. HOTAIRM1 also postponed tumor growth in vivo and inhibited the PI3K/AKT pathway in GC.",30302796
HOTAIRM1,LncRNA,Homo sapiens,Breast Neoplasms,breast cancer cells and patients,Regulation(SYN2 ),qRT-PCR//Migration Assay//Cell Viability Assay//Western Blot,"Results from univariate and multivariate Cox regression showed that SYN2, HOTAIRM1, BCAS1, and ALDOC were significantly associated with patient prognosis. Results from in vitro experiments showed that knockdown HOTAIRM1 expression promoted breast cancer cells proliferation, clone formation, and invasion. Up-regulation of HOTAIRM1 inhibited breast cancer cells proliferation, clone formation, and invasion.","Results from univariate and multivariate Cox regression showed that SYN2, HOTAIRM1, BCAS1, and ALDOC were significantly associated with patient prognosis.  Immunohistochemistry and quantitative real-time polymerase chain reaction (qRT-PCR) results showed that the expression levels of SYN2 and HOTAIRM1 were negatively correlated with BRCA stage, whereas those of BCAS1 and ALDOC were positively correlated with BRCA stage. ",Yes,"Results from in vitro experiments showed that knockdown HOTAIRM1 expression promoted breast cancer cells proliferation, clone formation, and invasion. Up-regulation of HOTAIRM1 inhibited breast cancer cells proliferation, clone formation, and invasion.",35694102
HOTAIRM1,LncRNA,Homo sapiens,"Carcinoma, Non-Small-Cell Lung",NSCLC tissues cells or exosomes,Interaction(miR-498/ABCE1 axis),In Vivo Experiment//Western Blot//Migration Assay//CCK8//qRT-PCR//Flow Cytometry//Luciferase Report Assay//Invasion Assay//Transwell Assay,"HOTAIRM1 expression was dramatically upregulated, whereas miR-498 expression was significantly downregulated in NSCLC tissues cells or exosomes as compared to control groups. Functionally, HOTAIRM1 functioned as a sponge of miR-498 and miR-498 targeted ABCE1. In addition, HOTAIRM1 silencing inhibited NSCLC growth in vivo by downregulating ABCE1 and upregulating miR-498 expression.",,Yes,"Mechanistically, HOTAIRM1 knockdown repressed cell viability, migration, invasion and glycolysis metabolism, whereas induced cell apoptosis in NSCLC; however, miR-498 inhibitor hindered these effects.",33537917
HOTAIRM1,LncRNA,Homo sapiens,"Carcinoma, Hepatocellular",HCC tissues ,Regulation[Wnt signaling pathway],CCK8//qRT-PCR//Flow Cytometry//Western Blot,"Lower lncRNA HOTAIRM1 expressions were observed in the HCC tissues than those of the paracancerous tissues.HOTAIRM1, which was downregulated in HCC, might inhibit the proliferative ability and promote the apoptosis of HCC cells by suppressing the Wnt pathway, thereby inhibiting the progression of hepatocellular carcinoma."," ROC curve indicated a high sensitivity and specificity of lncRNA HOTAIRM1 for HCC. PFS in HCC patients was correlated with tumor size and lncRNA HOTAIRM1 expression, whereas not correlated with age, sex, GGT, AFP, Child-Pugh grade, HBsAg, cirrhosis, number of tumors, micro-vessel metastasis, tumor differentiation, and TNM stage of HCC.",Yes,Overexpression of HOTAIRM1 led to decreased proliferative ability and increased apoptosis of HepG2 and HHCC cells. ,30070317
HOTAIRM1,LncRNA,Homo sapiens,Ovarian Neoplasms, OC tumor tissues and cells,"interaction[ARHGAP24 ,miR-106a-5p]",RNA Pull-Down//Flow Cytometry//qRT-PCR//RIP//MTT//Luciferase Report Assay//Colony Formation Assay//Transwell Assay," HOTAIRM1 expression was lowered in OC tumor tissues and cells.In conclusion, our study showed that HOTAIRM1 suppressed OC progression through derepression of ARHGAP24 by sponging miR-106a-5p. ",Decreased HOTAIRM1 expression was associated with advanced FIGO stages and lymphatic metastasis.,Yes,"Up-regulation of HOTAIRM1 suppressed OC cell proliferation and invasion, and promoted apoptosis. ",31935390
HOTAIRM1,LncRNA,Homo sapiens,Ovarian Neoplasms,skov3 cell,Expression [highly expressed],qRT-PCR//Western Blot,HOTAIRM1 was overexpressed in SKOV3 cells.,,Yes," Silencing of HOTAIRM1 alleviated cell proliferation, and increased cell apoptosis of SKOV3 cells. Moreover, siHOTAIRM1 significantly increased expression of pro-apoptotic agents, such as Bad and Bax, while it decreased expressions of Bid and Bcl-2 (anti-apoptotic agents). Also, silencing of HOTAIRM1 resulted in a suppressed expression of Wnt pathway-related proteins and also expression of its downstream target gene, matrix metalloproteinase 9(MMP9).",33939846
HOTAIRM1,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,,Expression(highly expressed),qRT-PCR//Colony Formation Assay//Western Blot,"This study identified HOTAIRM1 as a novel significantly upregulated lncRNA in OSCC, which is strongly associated with unfavorable prognosis of OSCC.","This study identified HOTAIRM1 as a novel significantly upregulated lncRNA in OSCC, which is strongly associated with unfavorable prognosis of OSCC.Systematic bioinformatics analyses demonstrated that HOTAIRM1 was closely related to tumor stage, overall survival, genome instability, the tumor cell stemness, the tumor microenvironment, and immunocyte infiltration.",Yes,"HOTAIRM1 plays a pivotal role in OSCC cell proliferation, and is mainly involved in the regulation of the cell cycle. In vitro, cell loss-functional experiments confirmed that HOTAIRM1 knockdown significantly inhibited the proliferation of OSCC cells, and arrested the cell cycle in G1 phase. At the molecular level, PCNA and CyclinD1 were obviously reduced after HOTAIRM1 knockdown. The expression of p53 and p21 was upregulated while CDK4 and CDK6 expression was decreased by HOTAIRM1 knockdown. In vivo, knocking down HOTAIRM1 significantly inhibited tumor growth, including the tumor size, weight, volume, angiogenesis, and hardness, monitored by ultrasonic imaging and magnetic resonance imaging",35087800
HOTAIRM1,LncRNA,Homo sapiens,"Leukemia, Myeloid, Acute",blood,Interaction[ targeting miR-148b ],CCK8//qRT-PCR//Flow Cytometry,"HOTAIRM1 expression was higher while miR-148b expression was lower in AML patients than in healthy controls.In summary, HOTAIRM1 was involved in the progression of AML through targeting miR-148b, shedding light on the biological function and molecular mechanism of HOTAIRM1 in AML.",,Yes,"HOTAIRM1 silencing and miR-148b overexpression both suppressed cell proliferation and induced apoptosis in AML cells. miR-148b was identified as a target of HOTAIRM1 in AML cells. Moreover, HOTAIRM1 knockdown inhibited proliferation and induced apoptosis in AML cells by negatively regulating miR-148b. ",35520918
HOTAIRM1,LncRNA,Homo sapiens,pancreatic ductal adenocarcinoma,PDAC tissues and cells,Expression[highly expressed],qRT-PCR//MTT//Colony Formation Assay//Western Blot,"HOTAIRM1 expression was abnormally upregulated in PDAC tissues and cells when compared with the control samples, and was positively associated with the expression of KRAS gene mutation.",,Yes,"HOTAIRM1 knockdown attenuated cell proliferation by inducing cell cycle arrest at G0/G1 phase, promoted cell apoptosis, and inhibited cell migration in PDAC cells by regulating related-genes expression.",30613920
HOTAIRM1,LncRNA,Homo sapiens,Glioblastoma,GBM tissues and cells,Expression[highly expressed],qRT-PCR//ChIP,"HOTAIRM1 was abnormally up-regulated in GBM tissues and cells, and this up-regulation was correlated with grade malignancy in glioma patients.",,Yes,"HOTAIRM1 silencing caused tumor suppressive effects via inhibiting cell proliferation, migration and invasion, and inducing cell apoptosis. In vivo experiments showed knockdown of HOTAIRM1 lessened the tumor growth.",30376874
HOTAIRM1,LncRNA,Homo sapiens,Glioblastoma,GBM tissue samples and cells,interaction[SNAI2],ChIP//Wound Healing Assay//qRT-PCR//RIP//Luciferase Report Assay//Transwell Assay,"HOTAIRM1 was significantly overexpressed in GBM tissues and cells. Our results indicate a positive feedback loop between HOTAIRM1 and SNAI2, and suggest that the lncRNA HOTAIRM1 is a potential biomarker and therapeutic target in GBM.",,Yes,HOTAIRM1 knockdown significantly weakened the migration and invasion by GBM cells.,33323548
HOTTIP,LncRNA,Homo sapiens,"Leukemia, Myeloid, Acute","blood,cell lines",Regulation[HOTTIP/microRNA-608/DDA1 axis],CCK8//qRT-PCR//Luciferase Report Assay//Flow Cytometry,"HOTTIP was highly expressed in AML-M5 patients than normal controls.HOTTIP expression was significantly up-regulated in AML cell lines U-937 and THP-1.Dual-luciferase reporter gene indicated that HOTTIP could bind to microRNA-608, which was lowly expressed in AML-M5 patients. Overexpression of microRNA-608 significantly inhibited the proliferative ability and cell cycle progression of U-937 and THP-1 cells. More importantly, microRNA-608 could partially reverse the regulatory effect of HOTTIP on AML cells. Meanwhile, DDA1 was verified as the target of microRNA-608. Subsequent experiments elucidated that DDA1 significantly accelerated the proliferation and cell cycle of AML cells. ",,Yes,Up-regulation of HOTTIP remarkably promoted the proliferative potential and cell cycle progression of AML cells. ,31002141
HOTTIP,LncRNA,Homo sapiens,Osteosarcoma,OS tissues and cell lines,Interaction[c-Myc],CCK8//qRT-PCR//Wound Healing Assay//Western Blot,"HOTTIP was demonstrated to be upregulated in OS tissues and cell lines.HOTTIP promoted cell migration and invasion by upregulating c-Myc in OS. The positive feedback loop formed by HOTTIP and c-Myc may contribute to OS progression, and HOTTIP may act as a therapeutic target for OS.",,Yes,"knockdown of HOTTIP inhibited OS cell migration, invasion and EMT, and suppressed c-Myc expression. In addition, overexpression of c-Myc increased HOTTIP expression and enhanced OS cell migration and invasion.",31423232
HOTAIRM1,LncRNA,Homo sapiens,Thyroid Neoplasms,TC cells and tissues,interaction[HOTAIRM1/miR-148a/Wnt10 axis],Western Blot//qRT-PCR//MTT//Luciferase Report Assay//Transwell Assay,"The pronounced upregulated expression of HOTAIRM1 was evident in TC cells and tissues, and was associated with TNM stage and lymph node metastasis.Taken together, these results suggest that miR‑148a and Wnt10b are downstream effectors of the HOTAIRM1 signaling pathway in TC. This HOTAIRM1/miR‑148a/Wnt10 axis may thus be amenable to therapeutic targeting in order to improve disease outcomes in patients with TC.","The pronounced upregulated expression of HOTAIRM1 was evident in TC cells and tissues, and was associated with TNM stage and lymph node metastasis.",Yes,"When HOTAIRM1 was knocked down, this inhibited the proliferative and invasive abilities of TPC?1 and BCPAP cells in vitro. ",33650656
HOTTIP,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck,exosomes,Regulation( miR-19a-3p and miR-19b-3p/TLR5/NF-κB pathway),CCK8//qRT-PCR,"Accordingly, HOTTIP was found to be upregulated in M1-derived exosomes. A mechanism study further showed that M1 exosomes and HOTTIP activated the TLR5/NF-κB signaling pathway by competitively sponging miR-19a-3p and miR-19b-3p. Furthermore, cancer cells expressing HOTTIP were noted to induce the polarization of both local M1 and M2 macrophages; however, M1 exosomes were observed to reprogram local TAMs into M1 macrophages. ",,Yes," Therefore, the function of HOTTIP in cancer cells was explored, for which overexpression of HOTTIP was found to inhibit proliferation, migration and invasion but induced apoptosis of cancer cells in vitro. ",35210436
HOXA11-AS,LncRNA,Mus musculus,Parkinson Disease,SH-SY5Y neuronal and microglia,Interaction(FSTL1/NF-κB axis),qRT-PCR//Luciferase Report Assay//Western Blot,Inhibition of HOXA11-AS protects mice against PD through repressing neuroinflammation and neuronal apoptosis through miR-124-3p-FSTL1-NF-κB axis.,,Yes,Inhibition of HOXA11-AS protects mice against PD through repressing neuroinflammation and neuronal apoptosis through miR-124-3p-FSTL1-NF-κB axis.,33839699
HOXA11-AS,LncRNA,Mus musculus,Atherosclerosis,"AS mice tissues, vascular endothelial cell",Interaction(miR-515-5p/ROCK1 axis),Western Blot//Transfection//Flow Cytometry//RIP//qRT-PCR//MTT//Luciferase Report Assay,"Our data showed that HOXA11-AS was significantly up-regulated (P < 0.001), whereas miR-515-5p was dramatically down-regulated in AS mice tissues (P < 0.001) and ox-LDL-treated HUVECs (P < 0.01). Luciferase assay and RIP results confirmed that miR-515-5p is directly bound to HOXA11-AS and ROCK1. HOXA11-AS promoted ox-LDL-induced HUVECs injury by directly inhibiting miR-515-5p from increasing ROCK1 expression and subsequently decreasing the expression and phosphorylation of eNOS. MiR-515-5p mimics could partially reverse the effects of HOXA11-AS knockdown.",,Yes," Ox-LDL could induce endothelial injuries by inhibiting cell proliferation (P < 0.001) and SOD synthesis (P < 0.001), promoting apoptosis (P < 0.01), ROS (P < 0.001), and MDA production (P < 0.001), increasing Bax (P < 0.001) and cleaved Caspase-3 (P < 0.001), and decreasing Bcl-2 (P < 0.001) and phosphorylated eNOS (P < 0.01). HOXA11-AS knockdown attenuated endothelial injuries via increasing eNOS phosphorylation. ",35578440
HOXA10-AS,LncRNA,Homo sapiens,Stomach Neoplasms,GC tissues and cells,Interaction(lncRNA HOXA10-AS/miR-6509-5p/YBX1 signaling pathway ),IHC//Western Blot//qRT-PCR//Luciferase Report Assay//Cell Viability Assay//H&E Staining//Colony Formation Assay//EdU Staining//Transwell Assay," LncRNA HOXA10-AS is identified to be highly expressed in GC using the ENCORI database. The targets of HOXA10-AS included miR-6509-5p and Y-box binding protein 1 (YBX1). Specifically, HOXA10-AS downregulated miR-6509-5p in GC. An increase of miR-6509-5p inhibited GC cell growth. Meanwhile, miR-6509-5p interacted with YBX1 in GC. Together, lncRNA HOXA10-AS potentially acted as an oncogene through the lncRNA HOXA10-AS/miR-6509-5p/YBX1 signaling pathway in GC.", Kaplan-Meier plot analysis indicated that the survival rate of the patient is associated with the expression of lncRNA HOXA10-AS.,Yes,"Interference of HOXA10-AS inhibited GC cell proliferation, migration, and invasion as well as facilitated GC apoptosis. ",35521747
HOXA10-AS,LncRNA,Homo sapiens,Nasopharyngeal carcinoma,NPC cells,Interaction(miR-582-3p/RAB31),In Vivo Experiment//Western Blot//CCK8//qRT-PCR//Flow Cytometry//RIP//Colony Formation Assay//Transwell Assay," Briefly, HOXA10-AS was highly expressed in NPC cells. Further, HOXA10-AS could bind to miR-582-3p by acting as a competing endogenous RNA. Besides, Ras-related protein Rab-31 (RAB31) was proven as the target gene of miR-582-3p. Additionally, E2F transcription factor 1 (E2F1) acted as a transcription factor to activate HOXA10-AS expression. In the final rescue assays, we observed that the effect of HOXA10-AS depletion on NPC cell growth could be fully reversed by RAB31 overexpression or miR-582-3p inhibition. ",,Yes,HOXA10-AS down-regulation restrained NPC cell proliferation and migration. ,35072529
HOXA10-AS,LncRNA,Homo sapiens,Pancreatic Neoplasms,pancreatic cancer cell lines,Interaction( HOXA10-AS/miR-340-3p/HTR1D ceRNA axis),In Vivo Experiment//IHC//Western Blot//Wound Healing Assay//Flow Cytometry//qRT-PCR//CCK8//Luciferase Report Assay//Colony Formation Assay//EdU Staining//Transwell Assay," Lessened level of lncRNA HOXA10-AS reduced the sponging of miR-340-3p, resulting in an increase of miR-340-3p and a subsequent decrease of HTR1D to ultimately suppress the malignant biological behaviors of cancer. These data illustrated that the HOXA10-AS/miR-340-3p/HTR1D ceRNA axis acted a crucial part in the malignant biological behavior of pancreatic cancer in an AKT-dependent manner.",,Yes," Lessened level of lncRNA HOXA10-AS reduced the sponging of miR-340-3p, resulting in an increase of miR-340-3p and a subsequent decrease of HTR1D to ultimately suppress the malignant biological behaviors of cancer.",35813473
HOXA10-AS,LncRNA,Homo sapiens,Mouth Neoplasms,cancer cells,Regulation(TP63),In Vivo Experiment//Wound Healing Assay//qRT-PCR//RIP//MTT//Colony Formation Assay//Transwell Assay,"Recent transcriptomic profiling has recognized a tumor-biased expressed lncRNA, the HOXA10-AS transcript, whose expression is associated with patient survival.  In this study, we identify that HOXA10-AS serves as a modular scaffold for TP63 mRNA processing and that such involvement regulates cancer growth.","Recent transcriptomic profiling has recognized a tumor-biased expressed lncRNA, the HOXA10-AS transcript, whose expression is associated with patient survival. ",Yes, Functional cell-based assays show that the HOXA10-AS transcript is essential in the regulation of oral cancer growth and metastasis. ,35858923
HOXA10-AS,LncRNA,Homo sapiens,Glioma,glioma cells,Regulation,Cell Proliferation Assay//qRT-PCR//RNA-seq//Flow Cytometry,"In low-grade gliomas, HOXA10-AS activation is a robust marker of poor prognosis that complements IDH1/2 mutations, as validated in another retrospective cohort, and correlates with developmental pathways in tumor transcriptomes. Loss- and gain-of-function studies in patient-derived glioma cells, organoids, and xenograft models identify HOXA10-AS as a potent onco-lncRNA that regulates cell proliferation, contact inhibition, invasion, Hippo signaling, and mitotic and neuro-developmental pathways. ",,Yes,"Loss- and gain-of-function studies in patient-derived glioma cells, organoids, and xenograft models identify HOXA10-AS as a potent onco-lncRNA that regulates cell proliferation, contact inhibition, invasion, Hippo signaling, and mitotic and neuro-developmental pathways. ",34686327
HOXA10,LncRNA,Homo sapiens,Squamous Cell Carcinoma of Head and Neck, OSCC stem cells and  tumor tissues,Interaction(microRNA-29a/MCL-1/phosphatidyl inositol 3-kinase/protein kinase B axis),CCK8//qRT-PCR,"HOXA10-AS and MCL-1 were highly expressed while miR-29a was poorly expressed in the collected tumor tissues and the extracted OSCC stem cells. In addition, HOXA-10-AS and MCL-1 were found to activate the phosphatidyl inositol 3-kinase/protein kinase B (PI3K/AKT) signaling pathway.",". High expression of HOXA10-AS and MCL-1, while poor expression of miR-29a was relevant to poor prognosis in patients. ",Yes,"Silencing of HOXA10-AS suppressed proliferation and tumor sphere formation ability of stem cells, and it reduced growth and metastasis of tumors in animals. ",33831733
HOTTIP,LncRNA,Homo sapiens,Breast Neoplasms,breast cancer stem cells ,regulation[miR-148a-3p/WNT1 pathway],Flow Cytometry//qRT-PCR//Luciferase Report Assay//Western Blot,"In this study, we found that HOTTIP was markedly up-regulated in BCSCs and had a positive correlation with breast cancer progression.Our study is the first to report that HOTTIP regulates the CSC-like properties of BCSCs by as a molecular sponge for miR-148a-3p to increase WNT1 expression, offering a new target for breast cancer therapy.",,Yes," Functional studies revealed that overexpression of HOTTIP markedly promoted cell clonogenicity, increased the expression of the stem cell markers, OCT4 and SOX2, and decreased the expression of the differentiation markers, CK14 and CK18, in breast cancer cells.",32307830
HOTTIP,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues,Expression[highly expressed],qRT-PCR,Our results found that HOTTIP was upregulated in human primary CRC tissues.,,Yes," Knockdown of HOTTIP inhibited CRC cell proliferation, migration, and invasion.",31945724
HOTTIP,LncRNA,Homo sapiens,Colorectal Neoplasms,CRC tissues,Interaction[DKK1 ],qRT-PCR//Wound Healing Assay//Western Blot//Transwell Assay,"Here, we found that HOTTIP level was significantly higher in CRC than in corresponding adjacent normal tissues.Mechanistic analyses indicated that HOTTIP regulates CRC cell metastasis partly through the downregulation of tumor suppressor DKK1 expression. Collectively, our results suggest that tumor expression of lncRNA HOTTIP plays an important role in CRC metastasis. HOTTIP may serve as a candidate biomarker in this disease.","Here, we found that HOTTIP level was significantly higher in CRC than in corresponding adjacent normal tissues, and patients with a larger tumor size, advanced pathological stage, or distant metastasis had higher HOTTIP expression.",Yes,"Moreover, silencing HOTTIP expression by siRNA or shRNA could inhibit CRC cell migration and invasion in vitro and in vivo, whereas HOTTIP overexpression promoted cell metastasis, as documented in the SW480 cell lines. ",30229808
HOTTIP,LncRNA,Homo sapiens,"Thyroid Cancer, Papillary",patients with PTC,Expression[highly expressed],qRT-PCR,"PAPAS was downregulated, while the lncRNA HOXA transcript at the distal tip (HOTTIP) was upregulated in patients with PTC.","PAPAS expression level decreased, while HOTTIP expression level increased with the increase of clinical staging.",Yes,"PAPAS overexpression led to the inhibition of cell proliferation, while HOTTIP overexpression increased proliferation of PTC cells, and HOTTIP overexpression decreased the effects of PAPAS overexpression. ",32194727
HOTTIP,LncRNA,Homo sapiens,"Carcinoma, Renal Cell",RCC tissues and cell lines,Regulation[PI3K/Akt/Atg13 signaling pathway],Wound Healing Assay//qPCR//CCK8//Luciferase Report Assay//Transwell Assay,The results showed that HOTTIP expression was significantly upregulated in the RCC tissues and cell lines.Further research revealed that HOTTIP modification could affect RCC cell autophagy via the PI3K/Akt/Atg13 signaling pathway.,"The results showed that HOTTIP expression was significantly upregulated in the RCC tissues and cell lines, and it was closely associated with TNM stage, histological grade, lymph node metastasis and patient prognosis. ",Yes,"The in vitro and in vivo assays indicated that HOTTIP silencing inhibited RCC cell proliferation, migration and invasion and induced autophagy, and 3-MA (an autophagy inhibitor) reversed these effects. ",30511250
